Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
9000,1,1,1,9000,1,168,1,1,14006,21911,10981,24364,15438,12581
,,,,,,,,2,13791,21575,10832,23749,15204,12124
,,,,,,,,3,13123,20531,10561,22952,14839,11641
,,,,,,,,4,12488,19594,10360,22404,14671,11381
,,,,,,,,5,11468,18519,10280,21614,15033,11159
,,,,,,,,6,9847,17236,10175,20282,15522,10501
,,,,,,,,7,8145,15519,9907,18951,15695,10050
,,,,,,,,8,7378,14547,9914,18224,16466,10010
,,,,,,,,9,6911,13597,9886,17997,16986,9937
,,,,,,,,10,6794,12747,9966,17739,17427,10117
,,,,,,,,11,6960,12546,9931,17758,17606,10277
,,,,,,,,12,7443,13201,9927,17905,17824,10404
,,,,,,,,13,8142,14188,9988,18007,18083,10654
,,,,,,,,14,9198,15702,10202,18632,18295,11464
,,,,,,,,15,10970,18260,10635,19245,19395,11565
,,,,,,,,16,12467,20198,10738,19463,19391,11680
,,,,,,,,17,13497,21372,10725,19605,19306,11760
,,,,,,,,18,13721,21466,10853,20491,19211,11985
,,,,,,,,19,14013,21922,11008,21475,19299,12163
,,,,,,,,20,14049,21979,11336,22457,19220,12460
,,,,,,,,21,14451,22609,11437,22967,19120,12544
,,,,,,,,22,14573,22797,11357,23241,18663,12140
,,,,,,,,23,14063,22000,11111,23339,17567,12059
,,,,,,,,24,13617,21303,11010,23531,16611,12271
,,,,,,,,25,13410,20980,10978,23774,16044,12372
,,,,,,,,26,13212,20670,10801,23213,15724,11935
,,,,,,,,27,12463,19497,10488,22409,15232,11497
,,,,,,,,28,11943,18653,10277,21771,14998,11216
,,,,,,,,29,11031,17332,10195,20949,15301,11038
,,,,,,,,30,9506,15463,10178,19605,15845,10519
,,,,,,,,31,7857,13302,9974,18304,16100,10089
,,,,,,,,32,7086,12366,10058,17890,16599,9904
,,,,,,,,33,6681,11987,10137,17687,17181,9897
,,,,,,,,34,6628,11907,10167,17332,17510,10007
,,,,,,,,35,6828,12261,10202,17349,17688,10075
,,,,,,,,36,7239,12806,10277,17444,17798,10365
,,,,,,,,37,7902,13820,10458,17727,18287,10518
,,,,,,,,38,9014,15539,10649,18354,18604,11105
,,,,,,,,39,10650,18030,11084,19373,19605,11214
,,,,,,,,40,12172,19885,11125,19838,19964,11307
,,,,,,,,41,13218,20923,11077,20101,20012,11461
,,,,,,,,42,13347,20881,11214,21046,20035,11634
,,,,,,,,43,13567,21225,11392,21885,20075,11654
,,,,,,,,44,13710,21449,11596,22771,20198,11804
,,,,,,,,45,14183,22188,11712,23293,20133,11932
,,,,,,,,46,14381,22498,11537,23596,19740,11637
,,,,,,,,47,13815,21613,11235,23764,18605,11483
,,,,,,,,48,13386,20942,11158,24376,17793,11562
,,,,,,,,49,13228,20694,11183,24664,17211,11619
,,,,,,,,50,13164,20595,10989,24067,16764,11269
,,,,,,,,51,12464,19499,10675,23158,16164,10899
,,,,,,,,52,11773,18411,10397,22439,15718,10643
,,,,,,,,53,10910,17116,10298,21557,15781,10528
,,,,,,,,54,9486,15191,10249,19911,16136,9979
,,,,,,,,55,7971,13185,9941,18503,16263,9650
,,,,,,,,56,7089,12074,9948,18086,16554,9697
,,,,,,,,57,6713,11620,10084,17838,17006,9705
,,,,,,,,58,6674,11599,10249,17558,17352,9942
,,,,,,,,59,6824,11886,10371,17693,17657,10093
,,,,,,,,60,7209,12517,10484,17897,17863,10299
,,,,,,,,61,7831,13453,10629,18163,18142,10646
,,,,,,,,62,8811,14877,10777,18580,18330,11357
,,,,,,,,63,10402,17218,11140,19513,19222,11647
,,,,,,,,64,11920,19308,11170,19851,19575,11862
,,,,,,,,65,12879,20402,11055,19877,19866,12018
,,,,,,,,66,12995,20329,11252,20673,20058,12168
,,,,,,,,67,13210,20666,11450,21533,20050,12189
,,,,,,,,68,13402,20967,11779,22618,20129,12290
,,,,,,,,69,13932,21796,11827,23360,20223,12315
,,,,,,,,70,14085,22036,11700,23959,19934,11969
,,,,,,,,71,13670,21385,11559,24284,19082,11787
,,,,,,,,72,13281,20778,11594,24708,18356,11695
,,,,,,,,73,13116,20519,11581,24970,17781,11612
,,,,,,,,74,12882,20153,11366,24361,17114,11199
,,,,,,,,75,12266,19191,11012,23544,16394,10727
,,,,,,,,76,11656,18212,10748,22721,15982,10484
,,,,,,,,77,10790,16964,10631,21696,16030,10476
,,,,,,,,78,9413,15075,10434,20005,16258,9935
,,,,,,,,79,7789,12931,10037,18652,16264,9745
,,,,,,,,80,6972,11895,9868,18075,16767,9653
,,,,,,,,81,6597,11449,9995,17778,17126,9725
,,,,,,,,82,6550,11446,10023,17440,17577,10055
,,,,,,,,83,6721,11803,10086,17580,17709,10272
,,,,,,,,84,7064,12366,10091,17559,17773,10430
,,,,,,,,85,7653,13211,10180,17731,17895,10550
,,,,,,,,86,8639,14587,10270,18210,17936,10865
,,,,,,,,87,10253,16935,10613,19261,18749,10557
,,,,,,,,88,11732,19022,10626,19859,18802,10440
,,,,,,,,89,12662,20083,10486,20117,18807,10509
,,,,,,,,90,12795,20016,10648,21012,18727,10614
,,,,,,,,91,12953,20265,10891,21881,18748,10761
,,,,,,,,92,13148,20569,11204,22847,18770,11082
,,,,,,,,93,13677,21396,11388,23606,18767,11250
,,,,,,,,94,13940,21809,11350,24322,18574,11076
,,,,,,,,95,13557,21209,11205,24693,17695,10994
,,,,,,,,96,13169,20602,11215,25087,17054,10861
,,,,,,,,97,12681,19839,11091,25114,16295,10962
,,,,,,,,98,12554,19640,10886,24360,15816,10668
,,,,,,,,99,11978,18740,10486,23322,15197,10307
,,,,,,,,100,11299,17671,10112,22460,14733,10073
,,,,,,,,101,10268,16128,9751,21095,14570,9781
,,,,,,,,102,8710,14031,9396,19154,14364,9330
,,,,,,,,103,6972,11621,9062,17533,14431,8677
,,,,,,,,104,5605,9777,8885,16554,14678,8682
,,,,,,,,105,5082,9089,9042,16198,15442,8622
,,,,,,,,106,4760,8652,8877,15434,15592,8763
,,,,,,,,107,4914,8889,8892,15341,15847,8993
,,,,,,,,108,5392,9557,8888,15321,16021,9071
,,,,,,,,109,5983,10438,8910,15485,16082,9403
,,,,,,,,110,7046,12017,9065,15995,16296,9735
,,,,,,,,111,8505,14188,9406,17115,16825,10102
,,,,,,,,112,10336,16844,9752,18062,17385,10147
,,,,,,,,113,11556,18342,9871,18640,17689,10290
,,,,,,,,114,12152,19013,10303,19627,18158,10447
,,,,,,,,115,12489,19540,10534,20261,18126,10601
,,,,,,,,116,12767,19972,10950,20921,18182,11005
,,,,,,,,117,13387,20944,11136,21564,18193,11160
,,,,,,,,118,13450,21040,11217,22401,17846,11098
,,,,,,,,119,13073,20452,11107,22722,16894,11238
,,,,,,,,120,12917,20208,11237,23123,16290,11202
,,,,,,,,121,9800,15331,7855,13597,16417,8764
,,,,,,,,122,9664,15118,7727,13480,16436,8744
,,,,,,,,123,9271,14504,7630,13282,15750,8479
,,,,,,,,124,8824,13805,7567,13188,15519,8506
,,,,,,,,125,8677,13575,7703,13550,16042,8477
,,,,,,,,126,8674,13583,8122,14000,16372,8392
,,,,,,,,127,8228,13567,8763,13882,16883,8738
,,,,,,,,128,8228,14367,9171,13696,18432,8781
,,,,,,,,129,7618,15026,9290,13688,18887,8938
,,,,,,,,130,7613,15564,9428,13821,19479,8978
,,,,,,,,131,7740,15951,9578,13879,19469,9231
,,,,,,,,132,8234,16726,9642,14229,20206,9400
,,,,,,,,133,8989,16972,9825,14705,20626,9888
,,,,,,,,134,10553,17693,10172,15501,21241,10378
,,,,,,,,135,12296,19403,10329,15729,23126,10579
,,,,,,,,136,12516,19581,10388,15823,22972,10694
,,,,,,,,137,12368,19348,10581,16539,23259,10832
,,,,,,,,138,12871,20136,10772,16977,22719,10989
,,,,,,,,139,12914,20204,10468,16747,22876,10590
,,,,,,,,140,12576,19674,10213,16415,21659,10269
,,,,,,,,141,12360,19336,9912,15811,20834,9823
,,,,,,,,142,11891,18603,9303,14846,20172,9400
,,,,,,,,143,10998,17206,8694,14181,18621,9069
,,,,,,,,144,10229,16004,8273,13697,17262,8875
,,,,,,,,145,9721,15209,8166,13530,16862,8987
,,,,,,,,146,9496,14857,8000,13341,16888,8897
,,,,,,,,147,9181,14364,7934,13125,16177,8615
,,,,,,,,148,8896,13917,7895,13092,15920,8649
,,,,,,,,149,8945,13993,8008,13492,16424,8671
,,,,,,,,150,8572,12486,8363,13892,16474,8664
,,,,,,,,151,6964,10140,8962,13193,16862,9049
,,,,,,,,152,6162,9577,9325,12496,18466,9237
,,,,,,,,153,5915,9630,9533,12126,18917,9432
,,,,,,,,154,6029,10085,9604,12033,19429,9272
,,,,,,,,155,6165,10431,9703,12080,19450,9570
,,,,,,,,156,7005,11648,9753,12422,20186,9723
,,,,,,,,157,8021,13046,9807,13059,20374,9981
,,,,,,,,158,9774,15431,10220,14232,21229,10518
,,,,,,,,159,12249,19076,10421,14981,22983,10678
,,,,,,,,160,12563,19655,10460,15685,22846,10827
,,,,,,,,161,12438,19460,10608,16285,23176,10897
,,,,,,,,162,12941,20245,10668,16621,22425,11016
,,,,,,,,163,12914,20204,10258,16290,22416,10553
,,,,,,,,164,12424,19436,10019,15984,21128,10280
,,,,,,,,165,12023,18808,9807,15621,20358,10088
,,,,,,,,166,11721,18338,9278,14914,19994,9548
,,,,,,,,167,11119,17395,8750,14365,19015,9127
,,,,,,,,168,10311,16130,8310,13647,17703,8850
,,,,,,,,169,9623,15054,8014,13333,16632,9029
,,,,,,,,170,9431,14755,7781,13087,16480,8828
,,,,,,,,171,8974,14039,7668,12773,15578,8565
,,,,,,,,172,8527,13341,7568,12521,15157,8598
,,,,,,,,173,8403,13147,7485,12586,15373,8366
,,,,,,,,174,7758,11792,7632,12599,14822,8221
,,,,,,,,175,5750,9291,8107,12578,14827,8264
,,,,,,,,176,4760,8151,8453,12100,16475,8275
,,,,,,,,177,4182,7675,8824,11596,17638,8563
,,,,,,,,178,4361,8170,9043,11230,18654,8621
,,,,,,,,179,4689,8910,9259,11255,18691,9132
,,,,,,,,180,6093,10785,9462,11641,19771,9208
,,,,,,,,181,7009,11725,9503,12061,19708,9530
,,,,,,,,182,8696,13837,9705,12961,20248,9950
,,,,,,,,183,10880,16814,9701,13629,21326,10265
,,,,,,,,184,10893,17040,10039,14817,21344,10939
,,,,,,,,185,11593,18137,10616,16157,22962,11207
,,,,,,,,186,12427,19440,10860,16654,22815,11370
,,,,,,,,187,12504,19563,10424,16125,22965,10856
