,Network_zones,Network_Lines,z1,z2,z3,z4,z5,z6,Line_Max_Flow_MW,Line_Min_Flow_MW,transmission_path_name,distance_mile,Line_Loss_Percentage,Line_Reinforcement_Cost_per_MWyr,Line_Max_Reinforcement_MW,DerateCapRes_1,CapRes_1,CapRes_Excl_1
CA_N,z1,1,1,-1,0,0,0,0,3675,-3000,CA_N_to_CA_S,336.6139,0.0337,58538,9188,0.95,0,0
CA_S,z2,2,1,0,-1,0,0,0,100,-100,CA_N_to_WECC_N,490.2731,0.049,59291,250,0.95,0,0
WECC_N,z3,3,1,0,0,0,-1,0,3675,-4200,CA_N_to_WECC_PNW,463.8917,0.0464,56100,9188,0.95,0,0
 WECC_NMAZ,z4,4,0,1,-1,0,0,0,1400,-1920,CA_S_to_WECC_N,555.9141,0.0556,67229,3500,0.95,0,0
WECC_PNW,z5,5,0,1,0,-1,0,0,10464,-8794,CA_S_to_WECC_NMAZ,446.7287,0.0447,54025,26160,0.95,0,0
WECC_WYCO,z6,6,0,1,0,0,-1,0,2858,-2600,CA_S_to_WECC_PNW,727.9554,0.0728,88035,7145,0.95,0,0
,,7,0,0,1,-1,0,0,740,-800,WECC_N_to_WECC_NMAZ,598.8333,0.0599,40700,1850,0.95,0,0
,,8,0,0,1,0,-1,0,5150,-2450,WECC_N_to_WECC_PNW,387.3433,0.0387,26326,12875,0.95,0,0
,,9,0,0,1,0,0,-1,4150,-6350,WECC_N_to_WECC_WYCO,384.2886,0.0384,26118,10375,0.95,0,0
,,10,0,0,0,1,0,-1,664,-614,WECC_NMAZ_to_WECC_WYCO,485.1773,0.0485,32975,1660,0.95,0,0
